number,taxonomy,species,cool_name
3218,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Bryophyta|Moss Superclass|Bryopsida|Funariidae|Funariales|Funariaceae|Physcomitrella,Physcomitrella,Physcomitrella patens
88036,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Lycopodiophyta|Isoetopsida|Selaginellales|Selaginellaceae|Selaginella,Selaginella,embryophyta
4558,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|Liliopsida|commelinids|Poales|Poaceae|PACCAD clade|Panicoideae|Andropogoneae|Sorghum,Sorghum,Sorghum bicolor
4577,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|Liliopsida|commelinids|Poales|Poaceae|PACCAD clade|Panicoideae|Andropogoneae|Zea,Zea,andropogoneae
15368,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|Liliopsida|commelinids|Poales|Poaceae|BEP clade|Pooideae|Brachypodieae|Brachypodium,Brachypodium,Brachypodium distachyon
39947,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|Liliopsida|commelinids|Poales|Poaceae|BEP clade|Ehrhartoideae|Oryzeae|Oryza|Oryza sativa,Oryza sativa,poaceae
3702,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|eudicotyledons|core eudicotyledons|rosids|malvids|Brassicales|Brassicaceae|Camelineae|Arabidopsis,Arabidopsis,Arabidopsis thaliana
59689,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|eudicotyledons|core eudicotyledons|rosids|malvids|Brassicales|Brassicaceae|Camelineae|Arabidopsis,Arabidopsis,arabidopsis
3847,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|eudicotyledons|core eudicotyledons|rosids|fabids|Fabales|Fabaceae|Papilionoideae|Phaseoleae|Glycine,Glycine,Glycine max
73824,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|eudicotyledons|core eudicotyledons|rosids|fabids|Malpighiales|Salicaceae|Saliceae|Populus,Populus,Populus balsamifera
29760,cellular organisms|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|eudicotyledons|core eudicotyledons|rosids|rosids incertae|Vitales|Vitaceae|Vitis,Vitis,eukaryota
5786,cellular organisms|Eukaryota|Amoebozoa|Mycetozoa|Dictyosteliida|Dictyostelium,Dictyostelium,Dictyostelium purpureum
352472,cellular organisms|Eukaryota|Amoebozoa|Mycetozoa|Dictyosteliida|Dictyostelium|Dictyostelium discoideum,Dictyostelium discoideum,dictyostelium
192875,cellular organisms|Eukaryota|Fungi/Metazoa group|Fungi/Metazoa incertae|Ichthyosporea|Capsaspora,Capsaspora,Capsaspora owczarzaki
81824,cellular organisms|Eukaryota|Fungi/Metazoa group|Choanoflagellida|Codonosigidae|Monosiga,Monosiga,Monosiga brevicollis
45351,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Cnidaria|Anthozoa|Hexacorallia|Actiniaria|Edwardsiidae|Nematostella,Nematostella,Nematostella vectensis
6239,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Pseudocoelomata|Nematoda|Chromadorea|Rhabditida|Rhabditoidea|Rhabditidae|Peloderinae|Caenorhabditis,Caenorhabditis,Caenorhabditis elegans
6238,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Pseudocoelomata|Nematoda|Chromadorea|Rhabditida|Rhabditoidea|Rhabditidae|Peloderinae|Caenorhabditis,Caenorhabditis,caenorhabditis
6669,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Branchiopoda|Phyllopoda|Diplostraca|Cladocera|Anomopoda|Daphniidae|Daphnia,Daphnia,Daphnia pulex
121225,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Phthiraptera|Anoplura|Pediculidae|Pediculus,Pediculus,Pediculus humanus
7029,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Paraneoptera|Hemiptera|Sternorrhyncha|Aphidiformes|Aphidomorpha|Aphidoidea|Aphididae|Aphidinae|Macrosiphini|Acyrthosiphon,Acyrthosiphon,paraneoptera
7425,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Hymenoptera|Apocrita|Chaldicoidea group|Chalcidoidea|Pteromalidae|Pteromalinae|Nasonia,Nasonia,Nasonia vitripennis
7070,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Cucujiformia|Tenebrionoidea|Tenebrionidae|Tribolium,Tribolium,Tribolium castaneum
7091,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Obtectomera|Bombycoidea|Bombyciformes|Bombycidae|Bombycinae|Bombyx,Bombyx,Bombyx mori
180454,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Culicimorpha|Culicoidea|Culicidae|Anophelinae|Anopheles|Cellia|Pyretophorus|gambiae species|Anopheles gambiae,Anopheles gambiae,Anopheles gambiae
7175,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Culicimorpha|Culicoidea|Culicidae|Culicinae|Culicini|Culex|Culex|Culex pipiens,Culex pipiens,Culex pipiens
7159,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Nematocera|Culicimorpha|Culicoidea|Culicidae|Culicinae|Culicini|Aedes/Ochlerotatus group|Aedes|Stegomyia,Stegomyia,culicidae
7222,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Ephydroidea|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophiliti|Drosophila|Hawaiian Drosophila|picture wing|grimshawi clade|grimshawi group|grimshawi subgroup,grimshawi subgroup,Drosophila grimshawi
7244,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Ephydroidea|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophiliti|Drosophila|Drosophila|virilis group,virilis group,Drosophila virilis
7230,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Ephydroidea|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophiliti|Drosophila|Drosophila|repleta group|mulleri subgroup|mojavensis species,mojavensis species,drosophila
7260,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Ephydroidea|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophiliti|Drosophila|Sophophora|willistoni group|willistoni subgroup,willistoni subgroup,Drosophila willistoni
7234,cellular organisms|Eukaryota|Fungi/Metazoa group|Metazoa|Eumetazoa|Bilateria|Coelomata|Protostomia|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Acalyptratae|Ephydroidea|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophiliti|Drosophila|Sophophora|obscura group|pseudoobscura subgroup,pseudoobscura subgroup,Drosophila persimilis
